Name,TOPG
Wisconsin,8.2
Georgia St.,8.4
Drexel,8.5
Syracuse,9
Cal Poly,9.1
Colorado St.,9.2
Michigan,9.4
Delaware,9.6
Fresno St.,9.7
West Virginia,9.7
Duke,9.8
North Dakota St.,9.8
Denver,9.9
Montana,10
Santa Clara,10
Creighton,10
Butler,10
Boise St.,10
San Diego St.,10.1
Miami (FL),10.2
California,10.2
Virginia,10.2
Wyoming,10.3
Notre Dame,10.3
William & Mary,10.3
Wichita St.,10.4
Nevada,10.4
Oklahoma St.,10.4
Louisville,10.5
Iowa St.,10.5
New Mexico,10.5
Arizona,10.5
Pittsburgh,10.5
Tennessee,10.5
Richmond,10.5
Iona,10.5
Penn St.,10.5
Illinois,10.5
Temple,10.5
North Carolina St.,10.6
VMI,10.6
UCLA,10.6
Toledo,10.6
UNI,10.6
Eastern Ky.,10.7
Central Mich.,10.7
Wofford,10.7
Bucknell,10.7
Saint Francis (PA),10.7
Charleston So.,10.8
St. John's (NY),10.8
Nebraska,10.9
Northwestern,10.9
Missouri St.,11
Utah St.,11
Duquesne,11
Radford,11.1
IUPUI,11.1
UNLV,11.1
Ohio St.,11.1
Clemson,11.1
Princeton,11.1
Oakland,11.1
Youngstown St.,11.2
UC Santa Barbara,11.2
Cincinnati,11.2
Boston College,11.2
Indiana St.,11.2
Stanford,11.2
Stephen F. Austin,11.2
Gonzaga,11.3
Sacramento St.,11.3
Portland St.,11.3
Texas A&M,11.3
Ole Miss,11.3
Florida,11.3
Utah Valley,11.3
Jacksonville St.,11.3
Robert Morris,11.3
BYU,11.4
North Dakota,11.4
Fordham,11.4
Oral Roberts,11.4
Towson,11.4
Harvard,11.4
Washington,11.4
Iowa,11.4
Oklahoma,11.4
Colgate,11.5
Washington St.,11.5
Arizona St.,11.5
UNC Wilmington,11.5
Alcorn,11.5
Tulsa,11.5
Louisiana Tech,11.5
Davidson,11.5
Montana St.,11.5
UConn,11.5
Northern Colo.,11.5
St. Mary's (CA),11.5
Canisius,11.6
La Salle,11.6
Michigan St.,11.6
UT Martin,11.6
N.C. Central,11.6
Oregon,11.7
San Francisco,11.7
East Carolina,11.7
TCU,11.7
Arkansas,11.7
Idaho,11.7
Utah,11.7
Fairleigh Dickinson,11.7
Holy Cross,11.8
Hawaii,11.8
Portland,11.8
San Diego,11.8
Providence,11.8
Delaware St.,11.8
South Dakota St.,11.8
Villanova,11.8
Georgetown,11.9
Minnesota,11.9
Alabama,11.9
Boston U.,11.9
Loyola Maryland,11.9
Ga. Southern,11.9
Cal St. Fullerton,11.9
Drake,11.9
Vermont,11.9
East Tenn. St.,11.9
Mercer,11.9
Coppin St.,12
Lehigh,12
Bradley,12
Marquette,12
Dartmouth,12
Mt. St. Mary's,12
Eastern Mich.,12
Texas Tech,12
UC Davis,12
Eastern Wash.,12
North Carolina,12
Saint Peter's,12
High Point,12
Cornell,12
Elon,12.1
Appalachian St.,12.1
Georgia Tech,12.1
USC Upstate,12.1
Baylor,12.1
Auburn,12.1
Southeastern La.,12.1
Nicholls St.,12.1
Loyola Marymount,12.2
Dayton,12.2
Chicago St.,12.2
Western Caro.,12.2
Kent St.,12.2
Sacred Heart,12.2
Tex.-Pan American,12.2
Pepperdine,12.2
James Madison,12.2
Arkansas St.,12.2
Pacific,12.2
Southern Ill.,12.2
South Ala.,12.3
Long Beach St.,12.3
Gardner-Webb,12.3
Purdue,12.3
Columbia,12.3
Alabama St.,12.3
Hofstra,12.3
Kansas St.,12.3
Middle Tenn.,12.3
Stetson,12.4
Lafayette,12.4
A&M-Corpus Christi,12.4
Seton Hall,12.4
Tennessee St.,12.4
South Dakota,12.4
Marist,12.4
Kentucky,12.4
Green Bay,12.4
Bryant,12.4
Idaho St.,12.4
Wake Forest,12.4
Presbyterian,12.4
IPFW,12.4
Illinois St.,12.5
Stony Brook,12.5
UC Irvine,12.5
Citadel,12.5
Winthrop,12.5
Saint Joseph's,12.5
Ill.-Chicago,12.5
VCU,12.5
Quinnipiac,12.5
Lipscomb,12.5
Navy,12.5
Texas,12.6
Missouri,12.6
Saint Louis,12.6
Buffalo,12.6
Cleveland St.,12.6
Troy,12.6
Northern Ariz.,12.6
Xavier,12.6
UMES,12.6
Rutgers,12.6
Weber St.,12.6
Virginia Tech,12.6
North Texas,12.7
Houston,12.7
Albany (NY),12.7
Murray St.,12.7
Tulane,12.7
Wagner,12.7
Bethune-Cookman,12.8
Maryland,12.8
Longwood,12.8
Detroit,12.8
Samford,12.8
Col. of Charleston,12.8
LIU Brooklyn,12.8
George Washington,12.8
McNeese St.,12.8
Evansville,12.8
South Fla.,12.8
Ohio,12.9
Belmont,12.9
Georgia,12.9
Sam Houston St.,12.9
Army,12.9
New Mexico St.,12.9
Cal St. Northridge,12.9
Marshall,12.9
Brown,13
Morgan St.,13
FGCU,13
St. Bonaventure,13
UAB,13
Fla. Atlantic,13
New Hampshire,13.1
NJIT,13.1
Yale,13.1
Southeast Mo. St.,13.1
Northeastern,13.1
UALR,13.1
Rice,13.1
St. Francis Brooklyn,13.2
UC Riverside,13.2
Rider,13.2
Texas Southern,13.2
Akron,13.2
Kansas,13.2
UMKC,13.2
Liberty,13.3
La.-Monroe,13.3
Alabama A&M,13.3
Southern Miss.,13.3
Southern U.,13.3
Eastern Ill.,13.3
Loyola Chicago,13.3
Norfolk St.,13.3
Western Ill.,13.3
Air Force,13.3
Colorado,13.3
Campbell,13.3
Wright St.,13.4
Vanderbilt,13.4
UTEP,13.4
Old Dominion,13.4
Massachusetts,13.4
San Jose St.,13.4
Chattanooga,13.4
Milwaukee,13.4
DePaul,13.5
Memphis,13.5
Western Ky.,13.5
Miami (OH),13.5
Furman,13.6
Northwestern St.,13.6
George Mason,13.6
Oregon St.,13.6
Texas-Arlington,13.6
Jacksonville,13.6
Niagara,13.6
UCF,13.7
UNC Asheville,13.7
SMU,13.7
Texas St.,13.7
SIU Edwardsville,13.8
LSU,13.8
Hartford,13.9
Southern Utah,13.9
Mississippi St.,13.9
La.-Lafayette,13.9
Florida St.,13.9
Seattle,14
American,14
UNC Greensboro,14
Central Conn. St.,14
Lamar,14
Bakersfield,14
Southern California,14
FIU,14.1
Coastal Caro.,14.1
Rhode Island,14.1
Manhattan,14.2
Siena,14.2
Binghamton,14.3
South Carolina,14.4
Western Mich.,14.4
Monmouth,14.4
Central Ark.,14.5
Florida A&M,14.6
Prairie View,14.6
Mississippi Val.,14.7
Bowling Green,14.7
Fairfield,14.7
Northern Ill.,14.7
Charlotte,14.7
Grambling,14.9
Jackson St.,14.9
Hampton,15
UMBC,15
Indiana,15.1
South Carolina St.,15.1
Tennessee Tech,15.1
North Florida,15.1
Maine,15.1
Valparaiso,15.2
N.C. A&T,15.3
Ark.-Pine Bluff,15.4
Morehead St.,15.6
Houston Baptist,15.6
Savannah St.,15.7
Austin Peay,15.7
UTSA,15.8
Kennesaw St.,15.9
Penn,16.1
Howard,16.4
New Orleans,16.8
Ball St.,16.8
,
Northern Ky.,11.6
Omaha,12.4
Grand Canyon,12.6
UMass Lowell,13.5
Incarnate Word,13.9
Abilene Christian,14.6
