old,new
Alcorn,Alcorn St
A&M-Corpus Christi,Texas A&M
American,American Univ
Ark-Pine Bluff,Ark Pine Bluff
Bakersfield,CS Bakersfield
Birmingham-So,Birmingham So
Boston U,Boston Univ
Cal Poly,Cal Poly SLO
Cal St Fullerton,CS Fullerton
Cal St Northridge,CS Northridge
Centenary LA,Centenary
Central Ark,Cent Arkansas
Central Conn St,Central Conn
Central Mich,C Michigan
Coastal Caro,Coastal Car
Col of Charleston,Col Charleston
Eastern Ill,E Illinois
Eastern Ky,E Kentucky
Eastern Mich,E Michigan
Eastern Wash,E Washington
East Tenn St,ETSU
Fairleigh Dickinson,F Dickinson
FGCU,FL Gulf Coast
FIU,Florida Intl
Fla Atlantic,FL Atlantic
Gardner-Webb,Gardner Webb
George Washington,G Washington
Green Bay,WI Green Bay
Houston Baptist,Houston
Ill-Chicago,IL Chicago
Kennesaw St,Kennesaw
Kent St,Kent
La-Lafayette,ULL
La-Monroe,ULM
LIU Brooklyn,Long Island
Loyola Chicago,Loyola-Chicago
Loyola IL,Loyola-Chicago
Loyola Maryland,Loyola MD
Loyola Marymount,Loy Marymount
Md-East Shore,MD E Shore
Middle Tenn,Middle Tenn St
Milwaukee,WI Milwaukee
Mississippi Val,NA
Monmouth,Monmouth NJ
North Carolina St,NC State
North Dakota St,N Dakota St
Northern Ariz,Northern Arizona
Northern Colo,N Colorado
Northern Ill,N Illinois
Northwestern St,Northwestern
Ole Miss,Mississippi
Sacramento St,NA
Saint Francis PA,St Francis PA
Saint Joseph's,St Joseph's PA
Saint Louis,St Louis
Saint Peter's,St Peter's
SIU Edwardsville,S Illinois
South Ala,South Alabama
South Carolina St,South Carolina
South Dakota St,South Dakota
Southeastern La,SE Louisiana
Southeast Mo St,SE Missouri St
Southern California,USC
Southern Ill,S Illinois
Southern U,Southern Univ
South Fla,South Florida
Stephen F Austin,SF Austin
St Francis Brooklyn,St Francis NY
St John's NY,St John's
St Joseph's,St Joseph's PA
Tenn-Martin,TN Martin
Texas-Arlington,TX Arlington
Texas Southern,TX Southern
Tex-Pan American,TX Pan American
UALR,Ark Little Rock
UConn,Connecticut
UC Santa Barbara,Santa Barbara
UMES,MD E Shore
UMKC,Missouri KC
UNI,Northern Iowa
USC Upstate,NA
UT Martin,TN Martin
UTSA,NA
VCU,VA Commonwealth
Western Caro,W Carolina
Western Ill,W Illinois
Western Ky,W Kentucky
Western Mich,W Michigan
Winston-Salem,W Salem St
